Year,Mo,Dy,TSU ,EQ,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent
1993,6,23,0,0,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,P
1993,6,26,0,0,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m
1994,1,15,0,0,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T
1994,2,3,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,P
1994,5,29,0,0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,1,G
1994,9,19,1,0,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3,T
1994,11,3,0,0,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,m
1994,11,22,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,
1995,2,4,0,0,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T
1995,2,11,0,0,Yakedake,Honshu-Japan,Japan,36.227,137.587,2455,Stratovolcano,1,T
1995,4,2,0,0,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,
1995,4,7,0,0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,M
1996,1,2,1,0,Karymsky,Kamchatka,Russia,54.049,159.443,1513,Stratovolcano,2,
1996,4,30,0,0,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,3,
1996,8,10,0,0,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,T
1996,9,30,0,0,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,3,
1996,12,3,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,3,P
1997,1,14,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,
1997,4,17,0,0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P
1997,6,25,0,0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,P
1997,8,1,0,0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,
1997,9,2,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T
1999,1,20,1,0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,
1999,5,21,0,0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,
1999,8,15,0,0,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4,
1999,10,5,0,0,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3,T
1999,10,16,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T
2000,6,27,1,1,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,2,
2000,7,27,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T
2000,8,23,0,0,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,P
2000,11,,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,A
2001,5,14,0,0,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,3,
2001,7,26,0,0,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,
2001,8,5,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P
2001,10,20,0,0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,T
